Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Character,,,,,Ernie Colon,"pencils, inks",WFH,1983,,,57C955B4-6C5D-F248-BA2F-DC7EAEA0C0FE
,Character,,,,,Thomas Ziuko,color,N/A,,,,A5238F0C-91E1-4B43-A458-4FFA3385D910
,Character,,,,,Keith Giffen,cover pencils,WFH,,,,E1660C9D-F476-EC4C-B61C-B18DBCFC8F3B
,Character,,,,,Larry Mahlstedt,cover inks,WFH,,,,FAF370E5-DD89-B24D-BA29-5B87CE4E2E39
"Amon Tomaz
(Osiris)",Character,,"Teen Titans #38
First Appearance -  in a Photo marked ""Osiris""",Sep-06,N,Geoff Johns,writer,WFH,,,,A7B9622F-2227-C147-B0D1-BE3B4F36D64C
,Character,,,,,Carlos Ferreira,pencils,WFH,,,,FC49B55D-4F62-CB49-B05F-42D57C4BFE22
,Character,,,,,Art Thibert,inks,WFH,,,,8DA2E180-A3E5-2844-B999-90DD14BBED55
,Character,,,,,Drew Geraci,inks,WFH,,,,480D6EF1-4B94-2643-84D5-FA1168B28209
,Character,,"52 #23
First appearance as an actual character",Dec-06,N,Geoff Johns,writer,WFH,,,,53C6F2E3-F3A8-0C41-A83D-C6DB3C290D39
,Character,,,,,Grant Morrison,writer,WFH,,,,3EE8FC60-5A74-584C-9C22-0129C75DB1AD
,Character,,,,,Greg Rucka,writer,WFH,,,,3EE96FA7-9F8B-7F4D-9946-8B1DE4BD984E
,Character,,,,,Mark Waid,writer,WFH,,,,BA495D0B-9EC6-A04A-A107-09FE9FCBACF8
,Character,,,,,Keith Giffen,pencils,Continuity,,,,5743D5A0-AA8A-9147-A7DE-D852EBB14FE1
,Character,,,,,Drew Johnson,pencils,WFH,,,,E4F14BE0-17C7-4A4C-8381-9438264D006C
,Character,,,,,Ray Snyder,inks,WFH,,,,019B5F5F-8333-D249-9DA3-32BF85D7C885
Amos Fortune,Character,,Justice League of America #6,Sep-61,Y,Gardner F. Fox,,Creator Recognition,2009,Deceased Creator recognition agreement with heirs.,,5009681A-9120-764E-A09F-3DEF010870B9
,Character,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,939574F3-AB27-6D42-BE11-5D8D53CD2B0E
,Character,,,,,Bernard Sachs,inks,None,,Deceased,,2C724C62-0195-594B-9B8B-A7B7101DED9B
,Character,,,,,Murphy Anderson,cover inks,None,,Deceased,,0C767C98-1287-3740-A574-BFA67285492E
Amos Fortune Casino,Location,Flash 403,"Justice League Animated Series
""Wild Cards""",Dec-03,,Stan Berkowitz,writer,,,,,BB57B6BD-50E2-AD4B-9B77-3AA1828B9482
,Location,,,,,Dwayne McDuffie,writer,,,Deceased,,F61D8A7A-FC76-EE41-8D4F-2B4FF7B31AB2
Amy Rohrbach,Character,Titans 101,Nightwing #48,Oct-00,N,Chuck Dixon,writer,WFH,,Character equity agreement sent in 2014; not returned,,FCCA11D1-9425-A54F-AB93-01A87583A4E2
,Character,,,,,Greg Land,"pencils, cover pencils",WFH.,2014,,,E0249012-DE51-4F4B-9274-7EFE56A419B8
,Character,,,,,Jose Marzan Jr.,inks,WFH,,,,43080255-7635-ED40-A972-4E2247853CFC
,Character,,,,,Karl Story,cover inks,WFH,,,,F9480A2C-E841-6B43-BC0A-A3CFBD61532D
,Character,,,,,Patricia Mulvihill,color,Exclusive,,,,A218B74C-9700-7C4F-AFE8-E565F0EF63FE
"Amygdala
(Aaron Helzinger)",Character,"Gotham 201
(9/21/2015)",Batman: Shadow of the Bat #3,Aug-92,N,Alan Grant,writer,WFH,2016,,,72C6799F-F71C-A245-99DF-1C64185D451E
,Character,,,,,Norm Breyfogle,"pencils, inks",None,,"Deceased
Character equity agreement sent. (5/31/16)
Breyfogle's WFH agreements for Shadow of the Bat #1 &2 have been located.  UPDATE: Located Continuity Artist Agreement for Breyfogle for this title dated January 31, 1992 (DCBL#222424) that was terminated on March 1, 1993 (DCBL#222423)",,1AAA779F-EEC2-9143-BB60-DA54EEBD7F8F
,Character,,,,,"Jefferson Mitchell
(Brian Stelfreeze)",cover,WFH,,,,D6633A86-CB55-EA4B-A5E1-1D06865ACE4C
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,DC9C8215-4307-D14D-83CB-97BAC5A06E91
"Anarky
(Lonnie Machlan)",Character,Arrow 402,Detective Comics #608,Nov-89,Y,Alan Grant,writer,WFH,2013,,,A4BBEC58-BE37-AD48-9EBE-558E241E9F69
,Character,,,,,Norm Breyfogle,"pencils, cover",WFH; Continuity,2013,Deceased,,FFCB89F5-4417-6540-A20B-F49C53A11F6F
,Character,,,,,Steve Mitchell,inks,WFH,,,,9031345D-D7E3-A046-9119-F9652176C5CB
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,2F667713-70C6-894D-9512-621A9C8891D2
"Anarky
(Samuel Young)",Character,,Detective Comics #30,Jun-14,N,Francis Manapul,"writer, pencils, inks, cover",WFH,,,,C80488D8-5116-BE45-82BE-BEC876559204
,Character,,,,,Brian Buccellato,"writer, color",WFH,,,,03C876E9-07B3-E84C-9FDC-1E6598125D29
"Andre
(Iron Face; The Man in the Iron Mask; M'sieu Machine)",Character,,"in Quality Comics:
Military Comics #2
""The Coward Dies Twice""",Sep-41,N,Will Eisner,writer,None,,See Quality Comics purchase agreements dated 7/26/56 & 8/1/67.,,7100AF9E-867E-6D4A-A75E-7151FCB43716
,Character,,,,,Charles Cuidera,"pencils, inks, cover",None,,,,205E8F03-FA65-A04B-928C-E3A83FF2EC7A
,Character,,,,,Bill Smith,cover,None,,,,521B7880-4CE7-5A47-81AA-5E9659DC519D
,Character,,"in DC Comics:
Blackhawk #108",Jan-57,N,Dick Dillin,"pencils, cover pencils",None,,Deceased,,F6706705-70CC-7B42-B6A6-808DE50A4879
,Character,,,,,Charles Cuidera,"inks, cover inks",None,,,,8D2FD0F6-469A-0B4C-9751-D4487AD3F561
Andre Blanc-Dumont,Character,,Blackhawk #1,Mar-89,N,Howard Chaykin,"writer, pencils, inks, cover",,,,,76BEC02B-44F4-A546-B467-75914D183C2D
,Character,,,,,Steve Oliff,color,N/A,,,,7F107B49-CE40-5947-B096-A7C334A46D21
Andrew Lincoln,Character,,Blackhawks #1,Nov-11,Y,Mike Costa,writer,WFH,,,,C9BFF215-11BA-CF48-94F8-1886C91CB4A4
,Character,,,,,Graham Nolan,pencils,WFH,,,,A45AC1CA-C7DF-C44C-8985-1CE97A0FF7CB
,Character,,,,,Ken Lashley,"pencils, inks, cover",WFH,,,,915C48DE-C15B-7B45-AD59-92D5F3EAB0D1
,Character,,,,,Guy Major,color,Exclusive,,,,DB7FD43A-A58C-A24D-88D1-5AF15F26197C
"Andromache
(Majestrix)",Character,"Justice League
(2017)",WildC.A.T.S Trilogy #2,Sep-93,N,Brandon Choi,writer,WFH Acknowledgment,,See also: Aegis Entertainment Purchase Agreement,,18285AF8-F7AE-0C4E-86F3-9E1773A7DB35
,Character,,,,,Dafydd Wyn,writer,None,,,,FE14CF07-6F48-3F40-BD2D-8B37E2D5021B
,Character,,,,,Jae Lee,"pencils, inks, cover",None,,,,70A2AB86-8566-B54E-A92E-767562BBD677
,Character,,,,,Joe Chiodo,color,N/A,,,,78A0E388-D5D5-9F41-B37A-4051B43AEFE0
Angel & The Ape,Character,,"Showcase vol 1 #77
""Angel and the Ape"" ",Sep-68,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time (from 1/13/1964-1/23/1987).
Deceased (January 1987)","1 active heir, which has been receiving royalty payments: Marie O’Brien (Heir to the Estate of E. Nelson Bridwell)",135CAF83-56A3-6C42-946F-470E4FCD97C2
,Character,,,,,Bob Oksner,"pencils, cover ",None,,Deceased (February 2007),"3 active heirs, which have been receiving royalty payments.",E3F9C6F6-7767-214D-B0B8-55ABE1750219
,Character,,,,,"Philip Eustice ""Tex"" Blaisdell","inks, cover",None,,Deceased (March 1999),,EBDE80F7-D59D-D44C-8704-EE99E8D5C677
"Animal Man
(Buddy Baker)",Character,Dark Universe,"Strange Adventures #180
""I Was The Man With Animal Powers""",Sep-65,Y,Dave Wood,writer,None,,Deceased,,22C5B0F2-C435-DD41-B7BA-03414E456620
,Character,,,,,Carmine Infantino,"pencils, cover",Settlement,,Deceased,,B2DC5175-1444-354C-9025-80578B4A758A
,Character,,,,,George Roussos,inks,None,,Deceased,,C6D1BC14-C3CE-7043-8EEF-2DC49B29CECD
"Animal-Vegetable-Mineral Man
(Sven Larsen)",Character,Doom Patrol 106,"Doom Patrol #89
""The Animal Vegetable Mineral Menace""",Aug-64,Y,Arnold Drake,writer,None,2006,Deceased,,E042231B-4655-8242-9B42-24C5D9498DD9
,Character,,,,,Bruno Premiani,"pencils, inks",None,,Deceased,,7785903F-247F-284B-AC4E-F54FA7FF3B64
,Character,,,,,Bob Brown,cover,None,,,,6A2EF892-E9E3-6847-AA57-F3C36F420CDD
Anndranna,Location,Supergirl 204,"Strange Adventures #143
""The Face In The Atom Bomb Cloud!""",Aug-62,Y,Gardner Fox,writer,Creator Recognition,,Deceased Creator Recognition agreement is with heirs.,,E3B33F49-2A5A-754C-903F-0F16BFBFED3E
,Location,,,,,Murphy Anderson,"pencils, inks, cover",None,,Deceased,,854E19B9-B619-AF42-9229-F0FC4BA7A7BB
Ant Farm,Location,Doom Patrol 111,"Frankenstein, Agent of S.H.A.D.E. #1
""War of the Monsters Pt. 1: Monster Town, USA""",Nov-11,N,Jeff Lemire,writer,WFH,,,,84EBB85A-5814-7646-919F-E9DF016229F2
,Location,,,,,Alberto Ponticelli,"pencils, inks",WFH,,,,041FC46B-E4C1-F94A-8012-90A893C58B73
,Location,,,,,J.G. Jones,cover,WFH,,,,AA6A319C-1AAF-6349-BCA0-A597C8026245
,Location,,,,,Jose Villarrubia,color,N/A,,,,2102A2D2-1443-5F4D-8BF3-53AACBA62E05
Anti-Monitor,Character,DC Super Hero Girls,Crisis on Infinite Earths #2,May-85,N,Marv Wolfman,writer,Writer/Editor,2004,,,FBFDB445-C301-984B-A65A-C5767E8D1E52
,Character,,,,,George Perez,"pencils, cover",Exclusive,2004,,,9E17D1CD-D44E-FD48-90BC-214B6AC9051E
,Character,,,,,Dick Giordano,inks,None,,"Giordano may have been an employee of DC at this time.
Deceased",,4E42EBEB-DF05-A348-8509-C095C76C4944
,Character,,,,,Anthony Tollin,color,Exclusive,,,,EC7CFBC4-3D89-8348-AD66-F0811B87DBE5
"Antiope
(Pre-Crisis)",Character,"Wonder Woman
(2017)","Wonder Woman #312
""Escape""",Feb-84,N,Dan Mishkin,writer,WFH,,,,78392BC3-21F9-8B47-8D45-DECB9AD999ED
,Character,,,,,Don Heck,"pencils, inks",WFH,,Deceased,,3D5904D9-9206-AB41-8CF3-12E485927BDF
,Character,,,,,Gil Kane,cover,WFH,,Deceased,,46823674-134A-3043-8CEB-C28FB51A33A8
,Character,,,,,Nansi Hoolihan,color,N/A,,,,F63CF31A-82B7-5A44-8C14-CF21B1D13C55
"Antiope
(Post-Crisis)",Character,"Wonder Woman
(2017)",Wonder Woman #1,Feb-87,N,Greg Potter,writer,WFH,,,,86228715-1327-5643-A880-7EB2613E3B8A
,Character,,,,,George Perez,"plot, pencils, cover",Continuity,,,,56719516-B8D3-694B-8461-0219607505BF
,Character,,,,,Bruce Patterson,inks,WFH,,,,5300A66F-9A48-4446-BD53-72914E12A4A7
,Character,,,,,Tatjana Wood,color,N/A,,,,980F0310-9AF2-C740-B85F-476A5751D212
Anton Arcane,Character,,Swamp Thing #1,Oct-72,N,Len Wein,writer,Settlement,2009,Deceased,,E6587C38-D953-A04B-8388-D44A944005EB
,Character,,,,,Berni Wrightson,"pencils, inks, cover",Settlement,2009,Deceased,,87BB523F-CCD8-4241-A60B-75710951012A
Anton Greeva,Character,"Point Blank
Sleeper",Sleeper #5,Jul-03,N,Ed Brubaker,writer,WFH,,,,331404B6-9E2B-0544-9C0F-39573D64AF0E
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,7918FFD3-6183-D14F-A828-D106E494C228
,Character,,,,,Tony Avina,color,N/A,,,,1BC7299B-C9A5-5C4F-BCE8-B57E57896F29
Anton Slater,Character,Flash 410,The Flash #337,Sep-84,N,Cary Bates,writer,Exclusive,,,,139F8673-1280-0F47-80D5-5CCC7F12F92A
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement; WFH,,Deceased,,586491B9-E370-924A-A2F0-5E38807F0EAC
,Character,,,,,Frank McLaughlin,inks,Exclusive; WFH,,Deceased,,1E4D1AA9-6151-7940-B89B-5B4D274A52B8
,Character,,,,,Klaus Janson,cover inks,WFH,,,,6AAE892E-986D-8A43-B7EF-AF5A2F2A8C6B
,Character,,,,,Carl Gafford,color,N/A,,,,F6DC39F8-AE97-5D4D-BA29-E1D83B6BB3BA
Anthro,Character,,"Showcase vol 1 #74
Anthro: ""It Could Be You""",May-68,Y,"Howard ""Howie"" Post","writer, pencils, inks, cover ",None,,Deceased (May 2010),No known active heirs and no royalty payments have been maid.,ED66A6D3-22ED-2141-95F6-697265405640
Aphrodite,Character,"Wonder Woman
(2017)","All-Star Comics #8
""Introducing Wonder Woman""",Dec-41,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,7CF4A659-F14D-D74D-86BC-19EE8834CDED
,Character,,,,,Harry G. Peter,"pencils, inks",Artist,,Deceased,,780003A1-FC03-CF4B-91AC-0A0A59B9FB11
,Character,,,,,Everett E. Hibbard,cover,None,,Deceased,,7888F610-9166-FC48-97D2-DC81EB42412C
Apokolips,Location,Justice League (2017),New Gods #1,Mar-71,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,21187B76-EED1-8443-B1A2-BBBF636875B8
,Location,,,,,Vince Colletta,inks,None,,Deceased,,071A065A-B0E4-7340-8FE2-0C17A42B5125
,Location,,,,,Frank Giacoia,cover inks,None,,Deceased,,E3E0CF2B-724F-9740-A170-21A3A4D05926
"Apollo
(Phoebus Apollo)",Character,"Wonder Woman
(2017)","Golden Age:
All-Star Comics #8
""Introducing Wonder Woman""",Dec-41,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,590E784B-B8F3-A943-9AA9-912EDB08A3F9
,Character,,,,,Harry G. Peter,"pencils, inks",Artist,,Deceased,,B67D2352-0F93-0440-BFCA-8D208FC6E69C
,Character,,,,,Everett E. Hibbard,cover,None,,Deceased,,EA7B1FB2-0C45-B24B-9B1E-E4256D4540A1
,Character,,"New 52:
Wonder Woman #1",Nov-11,N,Brian Azzarello,writer,WFH,,,,6A0DD690-44DD-8941-BD85-EB6EE3AB64CE
,Character,,,,,Cliff Wu Chiang,"pencils, inks, cover",WFH,,,,4A33EF65-6FB9-3A44-A0FD-4F37957EAA9E
,Character,,,,,Matthew Wilson,color,N/A,,,,2732D0EA-82F4-CE46-A8E4-5FD93FF7EFC0
Apollo,Character,,Stormwatch #4,Feb-98,Y,Warren Ellis,writer,None,,,,71C5FB83-FB62-1446-9930-6477D857C110
,Character,,,,,Bryan Hitch,"pencils, cover",None,,,,AB368DE1-1462-2B46-B58A-A1B84CA23C2B
,Character,,,,,Paul Neary,inks,None,,,,0F6FC695-0A5C-D941-889A-259810AD5AC7
,Character,,,,,Laura Depuy Martin,color,N/A,,,,5D6EC780-08B1-FF46-8E51-558F233155AB
"Aqualad
(Garth; Tempest)",Character,,"as Aqualad:
Adventure Comics #269
""The Kid From Atlantis""",Feb-60,N,Robert Bernstein,writer,None,,Deceased,,1E2B917F-234C-E54F-8A94-937853FE11C8
,Character,,,,,Ramona Fradon,"pencils, inks",Creator Recognition,,,,4005E215-7E1A-6549-85CA-9D944ABA65E2
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,3EEAD62D-F77B-6246-8805-2801A4A55A4F
,Character,,,,,Sheldon Moldoff,cover inks,None,,Deceased,,9FDFF769-710C-7740-8895-C4C8B1A77368
,Character,,"as Tempest:
Tempest #1",Nov-96,Y,Phil Jimenez,"writer, pencils, cover pencils",WFH,,,,F47E1E28-2FA3-9A4A-B1D3-B2A01FE2430A
,Character,,,,,John Stokes,"inks, cover inks",WFH,,,,43E71E89-EB37-1448-B3B4-E5ADE4187026
,Character,,,,,Carla Feeny,N/A,,,,,4E5E91BF-6839-F54A-B8F3-B7ED8A45C63D
"Aquaman
(Golden Age)",Character,,"More Fun Comics #73
""The Submarine Strikes""",Nov-41,N,Mort Weisinger,writer,None,,"Weisinger was an employee of DC at this time.
Deceased",,EEEDD79A-72D7-7943-9057-5AD24DEF5FBB
,Character,,,,,Paul Norris,"pencils, inks",Settlement,2002,Deceased,,81C57D87-A8A3-1242-A9C2-7BE41FD3F936
,Character,,,,,Howard Sherman,cover,None,,,,6E854A7E-66E0-BB49-9CD3-ED3E4F6EFA9A
"Aquaman
(Arthur Curry; Orin; Silver Age)",Character,,"Adventure Comics #260
""How Aquaman Got His Powers""",May-59,N,Robert Bernstein,writer,None,,"The writer on this work is generally credited as “unknown.” However, several sources suggest that Bernstein may have been the writer, so we include him here to be conservative.
Deceased",,5B766CB7-FE41-E941-B220-658C74D23DA3
,Character,,,,,Ramona Fradon,"pencils, inks",Creator Recognition,,,,6D21F56F-E76E-854D-8F04-D1FF7BCD917E
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,65FE8FEA-213C-1B48-BF05-1657634295A0
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,E5C418D1-C192-CC4A-8032-2AFBC165D873
"Aquaman
(Arthur Joseph Curry)",Character,,Aquaman: Sword of Atlantis #40,May-06,Y,Kurt Busiek,writer,WFH,,,,146DDE99-928D-3445-9504-82B0253F49FA
,Character,,,,,Jackson Guice,"pencils, inks, cover",WFH,,,,FD7D40FA-649F-2348-B6E3-46C9141FA931
,Character,,,,,Ian Churchill,cover (variant),Exclusive,,,,3D394515-EF89-6D41-A2A5-C835578E7A3E
,Character,,,,,Daniel Brown,color,N/A,,,,375C179C-F2CD-5C44-B9A6-8421FD823320
Area 10,Property,,Area 10 HC,2010,Y,Christos N. Gage,writer,Joint Creator/All Rights; Writer,2006,This property reverted to the creators in 2016. The property and all associated characters are not available for use.,,422155FD-DD48-D949-9CB5-CC4DAEE16F43
,Property,,,,,Chris Samnee,"pencils, inks",Joint Creator/All Rights; Artist,2006,,,BB73A46F-3EAC-7048-A9C4-0E2BA434A0DD
,Property,,,,,Lee Bermejo,cover,WFH,,,,A958EAD9-3C31-BF4E-A780-124E6AFBC9D5
"Ares
(Mars; Pre-Crisis)",Character,,"Wonder Woman #1
""The Origin of Wonder Woman""",Summer 1942,N,William Moulton Marston,writer,Marston agreements (7/31/41; 1/15/46; 7/25/51),,Deceased Final agreement is with Estate.,,F13DD04C-C1E8-E749-9614-A36361F12CC6
,Character,,,,,Harry G. Peter,"pencils, inks, cover",Artist,,Deceased,,9352C03E-0244-F442-86D3-6DBF4B045194
"Ares
(Post-Crisis)",Character,,Wonder Woman #1,Feb-87,N,Greg Potter,writer,WFH,,,,B4F91CD8-E2EF-734A-8705-E7A482DFF022
,Character,,,,,George Perez,"plot, pencils, cover",Continuity,,,,E18FED45-C466-7547-AA2F-86FA1A7B9A49
,Character,,,,,Bruce Patterson,inks,WFH,,,,B24B19F4-EFCA-CA46-A66A-DBB7049A0D04
,Character,,,,,Tatjana Wood,color,N/A,,,,FAF7BC87-CE28-DA4F-9DBB-F8FE3E5DB9A7
"A.R.G.U.S.
(Advanced Research Group Uniting Super-Humans)",Property,Legends 112,"Justice League #7
""The Villain's Journey Prologue""",May-12,N,Geoff Johns,writer,WFH,,,,791CDA6B-064A-714E-B443-2C471A38AE15
,Property,,,,,Gene Ha,"pencils, inks",WFH,,,,15727FC8-6627-F74F-9D9D-9A01C11BE8E6
,Property,,,,,Jim Lee,cover pencils,Firewall Agreement,,,,7BB9675A-364D-6A40-94D7-7A3C8D219422
,Property,,,,,Scott Williams,cover inks,WFH,,,,854EDA05-4903-874E-BB8E-8A52868A640C
,Property,,,,,Gary Frank,cover (variant),WFH,,,,5E0CFC0A-E2A3-6E4A-A516-E8CDCD3490EB
,Property,,,,,Art Lyon,color,N/A,,,,7AD6A771-9D5F-4E45-AA83-360C476C5349
Arkham Asylum,Location,"Justice League
(2017)","Batman #258
""The Threat of the Two-Headed Coin""",Sep-74,N,Dennis O'Neil,writer,Creator Recognition,,,,A2D87477-60C8-934A-9CB3-C867EA49290B
,Location,,,,,Irv Novick,pencils,None,,Deceased,,0EB995C6-4C3A-C74A-B0D4-A44B33611423
,Location,,,,,Dick Giordano,inks,None,,Deceased,,DD8572E7-9020-5146-9C9F-0D60CD5B20C4
,Location,,,,,"Nicholas Viscardi
(Nick Cardy)",cover,None,,Deceased,,D83D699A-76C4-D741-9E96-D41DA2F3A200
"Arlene Luthor
(Mother of Lex Luthor; Arlene Thorul; Letitia Luthor; Lillian Luthor)",Character,,"as Arlene Thorul/Arlene Luthor:
Superman's Girl Friend, Lois Lane #23
""The Curse of Lena Thorul""",Feb-61,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,4DCE29C8-9587-DF40-968E-BD168BFBC9D7
,Character,,,,,Kurt Schaffenberger,"pencils, inks",None,,"Schaffenberger may have been an employee of DC at this time.
Deceased",,58856011-3CC1-034F-AB78-E8ABC54C2874
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,76DC1094-CAF2-3B4A-AE83-21ECEA99620F
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,10F29DEC-7B8D-8C4F-8ABA-50D244FBDF62
,Character,,"as Letitia Luthor:
Lex Luthor: The Unauthorized Biography OGN",1989,N,"James D. ""Hud"" Hudnall",writer,Writer,,,,5BE65415-E539-124C-B779-29B24AC23F2A
,Character,,,,,Eduardo Barreto,"pencils, inks",Artist,,,,15492CAB-202D-4440-9903-14E6CFD968AD
,Character,,,,,Eric Peterson,cover,None,,,,968DF896-C25C-5D4A-A1FD-D3547DEB59DF
,Character,,,,,Adam Kubert,color,N/A,,,,4AF0F2B1-9AEF-9A4F-A35A-A1FBB79FBB14
,Character,Supergirl 201,"as Lillian Luthor:
Smallville
""Memoria""",Apr-04,,"Alfred Gough, Miles Millar",writers,,,,,663E2B01-3B05-0944-9868-91AADB855EB3
"Arm-Fall-Off-Boy
(Floyd Belkin; Splitter)",Character,Suicide Squad 2,"as Arm-Fall-Off-Boy:
Secret Origins #46
""The Little Clubhouse That Could""",Dec-89,N,Gerard Jones,writer,WFH,,DC no longer has an active relationship with Jones due to criminal conviction.,,9DE5AC2E-1973-E344-82FD-D239B915C4B3
,Character,,,,,Curt Swan,pencils,WFH,,Deceased,,962CEEF0-4AA0-D049-A16D-42E965F4D28F
,Character,,,,,Ty Templeton,inks,WFH,,,,A3AB69FB-3A05-BE4F-9EF3-70A8297E2D1A
,Character,,,,,Eliot Brown,cover,WFH,,,,725AB420-2B47-964D-BC01-B0591EA1A860
,Character,,,,,Tom McCraw,color,N/A,,,,CB26A41F-F93E-B545-A7B5-57225142ED4E
,Character,,"as Floyd Belkin/Splitter:
Legionnaires #43",Dec-96,N,Roger Stern,writer,WFH,,,,7B7B709F-4EF2-F646-835D-E880CD304765
,Character,,,,,Tom McCraw,"writer, color",WFH; Exclusive,,,,9F22DEEC-8CE7-1D44-BB05-FEC460774836
,Character,,,,,Jeffrey Moy,"pencils, cover pencils",Continuity Artist; WFH,,,,02E55DE0-EA84-7E42-A105-26FE281B6090
,Character,,,,,W.C. Carani,"inks, covver inks",WFH,,,,26605B76-DB5F-F246-A1C3-6A3AD1834B1B
,Character,,,,,Philip Moy,inks,WFH,,,,16ACB3D1-7C3E-9149-8E28-ECEF0759AF12
"Armando Ramone
(Reverb; Hardline)",Character,"Flash 213
(2/9/2016)","as Armando Ramone:
Justice League of America #233",Dec-84,N,Gerry Conway,writer,WFH; Exclusive,,,,9EF658F8-8B5F-F548-98C9-9C5A144B392A
,Character,,,,,Chuck Patton,"pencils, cover pencils",WFH; Exclusive,,,,B28724FF-64A4-7148-9AD5-132433260062
,Character,,,,,Bill Anderson,inks,None,,,,989825F3-B288-EB4B-A224-5162C3BF2C97
,Character,,,,,Gene D'Angelo,color,N/A,,,,888B5537-6B96-084D-A214-D843E6923269
,Character,,,,,Dick Giordano,cover inks,N/A,,"Giordano was an employee of DC at this time.
Deceased",,6431CB30-F4F0-F94E-A8D4-03244CC8295A
,Character,,"as Reverb: 
Justice League Quarterly #1",Dec-90,Y,Keith Giffen,plot,WFH,,,,A85DD2F4-9B1F-1844-9A5F-810F8108D5DB
,Character,,,,,John Mark DeMatteis,script,WFH,,,,D49B1AEA-AA65-8A43-A579-8486C2D6F25B
,Character,,,,,Chris Sprouse,"pencils, cover inks",WFH,,,,9DEBE79E-208F-3641-9A05-BDCAC5C2897B
,Character,,,,,Bruce Patterson,inks,WFH,,,,A3665CD9-95DE-C44B-A039-40372ACA85A5
,Character,,,,,Adam Hughes,cover pencils,None,,,,EF328F3F-FAAC-9245-9B05-731EA1F36E2B
,Character,,,,,Gene D'Angelo,color,Exclusive,,,,11C7B4BF-22E0-3F46-BE8D-D5334C80FC7E
"Armando Ramon
(Rupture)",Character,"Flash 220
(5/3/2016)","as Armando Ramon:
Justice League of America's Vibe #1",Apr-13,N,Geoff Johns,writer,WFH,,,,90B77A30-E19A-CE4E-A677-79DB9B5EABA7
,Character,,,,,Andrew Kreisberg,writer,WFH,,,,30F474F0-4057-3546-B4EF-B25224A52768
,Character,,,,,Pete Woods,pencils,WFH,,,,00FC2400-24E5-834F-BC3F-BA0DCA3C4A74
,Character,,,,,Sean Parsons,inks,WFH,,,,ED41557E-70FB-5543-95E9-78A454839978
,Character,,,,,David Finch,cover,WFH,,,,406119DA-0BAD-0D48-81AB-6C30CB385101
,Character,,,,,Brad Anderson,color,N/A,,,,89CDBD56-263D-4346-937C-B0D5CD2834D7
,Character,,"as Rupture:
Justice League of America's Vibe #6",Sep-13,Y,Sterling Gates,writer,WFH,,,,59C0B030-3659-D64F-A729-FFF93BBFCB6F
,Character,,,,,Pete Woods,pencils,WFH,,,,1DA83A8C-FF92-6348-877E-D9A95215EA45
,Character,,,,,Sean Parsons,inks,WFH,,,,88DF1E59-E194-664C-A96F-76B1C483D202
,Character,,,,,Brett Booth,cover pencils,WFH,,,,C5B7E62C-2643-4346-BAB2-822488C4D95F
,Character,,,,,Norman Rapmund,cover inks,WFH,,,,5B15476A-B851-A64F-86E7-4285C36E0BDA
,Character,,,,,Brad Anderson,color,N/A,,,,3E8D4351-A25D-7C4D-96F5-617408DE50EB
Armek,Character,Supergirl 211,JLA #1,Jan-97,N,Grant Morrison,writer,WFH,,,,510C0BCF-1E34-504A-B9BA-1B50F0361CCF
,Character,,,,,Howard Porter,"pencils, cover pencils",WFH,,,,AF92FD95-3ECA-7843-B44C-EF14CBCE590A
,Character,,,,,John Dell III,"inks, cover inks",WFH,,,,7A3F5A06-EE25-9A48-933B-AD598BB2654D
,Character,,,,,Pat Garrahy,color,N/A,,,,9A582755-DB64-D24B-9B0A-446318BD511D
Arnold Beech,Character,Arrow 506,"Detective Comics #221
""The Human Geiger Counter""",Jul-55,N,Ruben Moreira,"pencils, inks",None,,Deceased,,0A277CAC-09DA-D24C-B38F-9BF993559A46
,Character,,,,,J. Winslow Mortimer,cover,None,,Deceased,,1F515FAC-599B-AD4D-9028-307642D91B89
"Arrowette
(Miss Arrowette; Bonnie King)",Character,,"World's Finest #113
""The Amazing Miss Arrowette""",Nov-60,N,Dave Wood,writer,None,,Deceased,,B818BC0F-AB57-2A4A-8278-0E13ED3353B5
